"","ime","leto","stevilo","spol"
"634","Djevad",2008,18,"moski"
"635","Djevat",2008,7,"moski"
"636","Djoka",2008,7,"moski"
"637","Djoko",2008,10,"moski"
"638","Djordje",2008,88,"moski"
"639","Djordjo",2008,42,"moski"
"640","Djura",2008,8,"moski"
"641","Djuradj",2008,32,"moski"
"642","Djuro",2008,105,"moski"
"643","Dmitar",2008,15,"moski"
"644","Dmytro",2008,6,"moski"
"645","Dobran",2008,5,"moski"
"646","Dobre",2008,17,"moski"
"647","Dobri",2008,6,"moski"
"648","Dobrica",2008,11,"moski"
"649","Dobrinko",2008,8,"moski"
"650","Dobrivoj",2008,15,"moski"
"651","Dobrivoje",2008,60,"moski"
"652","Dobrosav",2008,11,"moski"
"653","Dobroslav",2008,6,"moski"
"654","Dojcin",2008,8,"moski"
"655","Dolfe",2008,5,"moski"
"656","Domagoj",2008,18,"moski"
"657","Domen",2008,3247,"moski"
"658","Domenico",2008,7,"moski"
"659","Domin",2008,10,"moski"
"660","Dominik",2008,1615,"moski"
"661","Dominko",2008,15,"moski"
"662","Don",2008,16,"moski"
"663","Donald",2008,16,"moski"
"664","Donat",2008,11,"moski"
"665","Donato",2008,5,"moski"
"666","Done",2008,9,"moski"
"667","Donovan",2008,7,"moski"
"668","Dore",2008,6,"moski"
"669","Dorian",2008,70,"moski"
"670","Dorijan",2008,34,"moski"
"671","Dorjan",2008,37,"moski"
"672","Dorjano",2008,8,"moski"
"673","Dorko",2008,5,"moski"
"674","Dorotej",2008,20,"moski"
"675","Dragan",2008,2322,"moski"
"676","Drage",2008,10,"moski"
"677","Dragec",2008,7,"moski"
"678","Dragi",2008,60,"moski"
"679","Dragisa",2008,151,"moski"
"680","Dragic",2008,17,"moski"
"681","Drago",2008,6270,"moski"
"682","Drago Franc",2008,7,"moski"
"683","Drago Karel",2008,7,"moski"
"684","Drago Karl",2008,5,"moski"
"685","Dragoja",2008,24,"moski"
"686","Dragoje",2008,11,"moski"
"687","Dragoljub",2008,241,"moski"
"688","Dragomil",2008,21,"moski"
"689","Dragomir",2008,379,"moski"
"690","Dragorad",2008,7,"moski"
"691","Dragoslav",2008,203,"moski"
"692","Dragos",2008,6,"moski"
"693","Dragotin",2008,249,"moski"
"694","Dragovan",2008,5,"moski"
"695","Dragutin",2008,741,"moski"
"696","Drasko",2008,59,"moski"
"697","Drazan",2008,12,"moski"
"698","Drazen",2008,245,"moski"
"699","Drazenko",2008,59,"moski"
"700","Drejc",2008,78,"moski"
"701","Dren",2008,6,"moski"
"702","Drilon",2008,9,"moski"
"703","Driton",2008,58,"moski"
"704","Dubravko",2008,58,"moski"
"705","Duilij",2008,5,"moski"
"706","Durak",2008,5,"moski"
"707","Durim",2008,9,"moski"
"708","Dursum",2008,25,"moski"
"709","Dusan",2008,8547,"moski"
"710","Dusan Anton",2008,5,"moski"
"711","Dusan Franc",2008,15,"moski"
"712","Dusan Janez",2008,6,"moski"
"713","Dusan Stanislav",2008,5,"moski"
"714","Dusko",2008,459,"moski"
"715","Dzabir",2008,6,"moski"
"716","Dzafer",2008,33,"moski"
"717","Dzan",2008,12,"moski"
"718","Dzavid",2008,11,"moski"
"719","Dzavit",2008,12,"moski"
"720","Dzelal",2008,11,"moski"
"721","Dzeljalj",2008,5,"moski"
"722","Dzemail",2008,23,"moski"
"723","Dzemal",2008,143,"moski"
"724","Dzemil",2008,25,"moski"
"725","Dzemo",2008,14,"moski"
"726","Dzenan",2008,17,"moski"
"727","Dzenis",2008,9,"moski"
"728","Dzevad",2008,267,"moski"
"729","Dzevair",2008,8,"moski"
"730","Dzevat",2008,17,"moski"
"731","Dzevdet",2008,20,"moski"
"732","Dzoni",2008,12,"moski"
"733","Dzordze",2008,5,"moski"
"734","Ecij",2008,7,"moski"
"735","Ecijo",2008,11,"moski"
"736","Ecio",2008,19,"moski"
"737","Edbin",2008,13,"moski"
